,city,monthly_cost_of_living
415,oakland-ca,
416,ocala-fl,
417,oceanside-ca,
418,odessa-tx,
419,ogden-ut,
420,ojai-ca,
421,oklahoma-city-ok,
422,olympia-wa,
423,omaha-ne,
424,orem-ut,
425,orlando-fl,
426,oshkosh-wi,
427,overland-park-ks,
428,owensboro-ky,
429,oxnard-ca,
430,oyster-bay-ny,
431,paducah-ky,
432,palm-coast-fl,
433,palm-springs-ca,
434,palmdale-ca,
435,palo-alto-ca,
436,panama-city-fl,
437,parsippany-troy-hills-nj,
438,pasadena-ca,
439,paso-robles-ca,
440,pembroke-pines-fl,
441,pensacola-fl,
442,peoria-az,
443,peoria-il,
444,philadelphia-pa,
445,phoenix-az,
446,pittsburgh-pa,
447,pittsfield-ma,
448,plano-tx,
449,plattsburgh-ny,
450,pleasanton-ca,
451,plymouth-mi,
452,pocatello-id,
453,pomona-ca,
454,port-st-lucie-fl,
455,portland-me,
456,portland-or,
457,portsmouth-nh,
458,poughkeepsie-ny,
459,prescott-az,
460,princeton-nj,
461,providence-ri,
462,pueblo-co,
463,pullman-wa,
464,queen-creek-az,
465,queens-ny,
466,raleigh-nc,
467,rancho-cucamonga-ca,
468,rapid-city-sd,
469,reading-pa,
470,red-bank-nj,
471,redding-ca,
472,redlands-ca,
473,redmond-wa,
474,redwood-city-ca,
475,reno-nv,
476,renton-wa,
477,reston-va,
478,rice-lake-wi,
479,richmond-ky,
480,richmond-va,
481,riverside-ca,
482,roanoke-va,
483,rochester-mi,
484,rochester-mn,
485,rochester-ny,
486,rock-hill-sc,
487,rock-springs-wy,
488,rockford-il,
489,rocklin-ca,
490,rockville-md,
491,rocky-hill-ct,
492,rogers-ar,
493,roseburg-or,
494,roseville-ca,
495,royersford-pa,
496,russellville-ar,
497,sacramento-ca,
498,saginaw-mi,
499,saint-charles-mo,
500,saint-cloud-mn,
501,saint-joseph-mo,
502,saint-louis-mo,
503,saint-paul-mn,
504,saint-petersburg-fl,
505,salem-or,
506,salina-ks,
507,salisbury-md,
508,salt-lake-city-ut,
509,san-angelo-tx,
510,san-antonio-tx,
511,san-bernardino-ca,
512,san-diego-ca,
513,san-francisco-ca,
514,san-jose-ca,
515,san-luis-obispo-ca,
516,san-marcos-tx,
517,san-mateo-ca,
518,san-rafael-ca,
519,santa-ana-ca,
520,santa-barbara-ca,
521,santa-clarita-ca,
522,santa-cruz-ca,
523,santa-fe-nm,
524,santa-monica-ca,
525,santa-rosa-ca,
526,sarasota-fl,
527,savannah-ga,
528,schaumburg-il,
529,scottsdale-az,
530,scranton-pa,
531,seatac-wa,
532,seaside-or,
533,seattle-wa,
534,sebring-fl,
535,sequim-wa,
536,sheboygan-wi,
537,sheridan-wy,
538,shreveport-la,
539,silver-spring-md,
540,simi-valley-ca,
541,sioux-city-ia,
542,sioux-falls-sd,
543,smithtown-ny,
544,somerville-ma,
545,south-bend-in,
546,spartanburg-sc,
547,spokane-wa,
548,spring-hill-fl,
549,springfield-il,
550,springfield-ma,
551,springfield-mo,
552,springfield-or,
553,springfield-va,
554,st-george-ut,
555,stamford-ct,
556,state-college-pa,
557,statesboro-ga,
558,stevens-point-wi,
559,stillwater-ok,
560,stockton-ca,
561,summerville-sc,
562,sunnyvale-ca,
563,syracuse-ny,
564,tacoma-wa,
565,tallahassee-fl,
566,tampa-fl,
567,temecula-ca,
568,tempe-az,
569,temple-tx,
570,terre-haute-in,
571,texarkana-ar,
572,the-dalles-or,
573,the-woodlands-tx,
574,thousand-oaks-ca,
575,toledo-oh,
576,topeka-ks,
577,traverse-city-mi,
578,trenton-nj,
579,troy-mi,
580,tucson-az,
581,tulsa-ok,
582,tupelo-ms,
583,tuscaloosa-al,
584,tustin-ca,
585,tyler-tx,
586,ukiah-ca,
587,upland-ca,
588,urbana-il,
589,utica-ny,
590,valdosta-ga,
591,vallejo-ca,
592,valparaiso-in,
593,vancouver-wa,
594,venice-fl,
595,ventura-ca,
596,vero-beach-fl,
597,victoria-tx,
598,victorville-ca,
599,virginia-beach-va,
600,visalia-ca,
601,waccabuc-ny,
602,waco-tx,
603,waikiki-hi,
604,waipahu-hi,
605,waldorf-md,
606,walla-walla-wa,
607,warner-robins-ga,
608,warrenton-va,
609,washington-dc,
610,waterbury-ct,
611,watertown-ny,
612,watertown-sd,
613,waukesha-wi,
614,wausau-wi,
615,webster-ny,
616,west-chester-pa,
617,west-hartford-ct,
618,west-hollywood-ca,
619,west-new-york-nj,
620,west-palm-beach-fl,
621,west-plains-mo,
